## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	interaction_partners	color
1408428	periphery	Bilophila wadsworthia ATCC 49260	Bilophila wadsworthia ATCC 49260		#93B4AF
1408433	periphery	Crocinitomix catalasitica ATCC 23190	Crocinitomix catalasitica		#93B4AF
1408436	periphery	[Eubacterium] cellulosolvens LD2006	Eubacterium cellulosolvens LD2006		#93B4AF
1408437	core	Eubacterium desmolans ATCC 43058	Eubacterium desmolans		#93B4AF
1408438	periphery	Facklamia sourekii ATCC 700629	Facklamia sourekii		#93B4AF
1408439	core	Fusobacterium perfoetens ATCC 29250	Fusobacterium perfoetens		#93B4AF
1408442	periphery	Helicobacter pametensis ATCC 51478	Helicobacter pametensis		#93B4AF
1408444	periphery	Legionella fairfieldensis ATCC 49588	Legionella fairfieldensis		#93B4AF
1408445	periphery	Legionella sainthelensi ATCC 35248	Legionella sainthelensi		#93B4AF
1408452	periphery	Mycobacterium genavense ATCC 51234	Mycobacterium genavense		#93B4AF
1408473	core	Prolixibacter bellariivorans ATCC BAA-1284	Prolixibacter bellariivorans		#93B4AF
1408813	periphery	Sphingobacterium sp. H1ai	Sphingobacterium sp. H1ai		#93B4AF
1408823	periphery	[Clostridium] mangenotii TR	Clostridium mangenotii		#93B4AF
1410608	periphery	Bacteroides sp. Ga6A2	Bacteroides sp. Ga6A2		#93B4AF
1410609	periphery	Treponema sp. C6A8	Treponema sp. C6A8		#93B4AF
1410612	periphery	Oribacterium sp. P6A1	Oribacterium sp. P6A1		#93B4AF
1410613	periphery	Prevotella sp. P6B1	Prevotella sp. P6B1		#93B4AF
1410616	core	Pseudobutyrivibrio sp. MD2005	Pseudobutyrivibrio sp. MD2005		#93B4AF
1410617	periphery	Ruminococcus sp. FC2018	Ruminococcus sp. FC2018		#93B4AF
1410618	core	Selenomonas sp. ND2010	Selenomonas sp. ND2010		#93B4AF
1410619	periphery	Serratia sp. DD3	Serratia sp. DD3		#93B4AF
1410620	periphery	Shinella sp. DD12	Shinella sp. DD12		#93B4AF
1410622	periphery	Lachnospiraceae bacterium C6A11	Lachnospiraceae bacterium C6A11		#93B4AF
1410624	periphery	Lachnospiraceae bacterium FE2018	Lachnospiraceae bacterium FE2018		#93B4AF
1410625	core	Lachnospiraceae bacterium MD2004	Lachnospiraceae bacterium MD2004		#93B4AF
1410626	periphery	Lachnospiraceae bacterium NC2004	Lachnospiraceae bacterium NC2004		#93B4AF
1410628	periphery	Lachnospiraceae bacterium ND2006	Lachnospiraceae bacterium ND2006		#93B4AF
1410630	periphery	Lachnospiraceae bacterium P6A3	Lachnospiraceae bacterium P6A3		#93B4AF
1410631	periphery	Lachnospiraceae bacterium P6B14	Lachnospiraceae bacterium P6B14		#93B4AF
1410632	periphery	Lachnospiraceae bacterium V9D3004	Lachnospiraceae bacterium V9D3004		#93B4AF
1410633	periphery	Lachnospiraceae bacterium YSB2008	Lachnospiraceae bacterium YSB2008		#93B4AF
1410634	core	Propionibacteriaceae bacterium P6A17	Propionibacteriaceae bacterium P6A17		#93B4AF
1410638	periphery	Ruminococcaceae bacterium AB4001	Ruminococcaceae bacterium AB4001		#93B4AF
1410650	periphery	Butyrivibrio proteoclasticus P6B7	Butyrivibrio proteoclasticus P6B7		#93B4AF
1410653	periphery	Clostridium lundense DSM 17049	Clostridium lundense		#93B4AF
1410658	core	Kandleria vitulina MC3001	Kandleria vitulina		#93B4AF
1410661	core	Lachnospira multipara LB2003	Lachnospira multipara LB2003		#93B4AF
1410665	periphery	Mitsuokella jalaludinii DSM 13811	Mitsuokella jalaludinii		#93B4AF
