## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
10036	periphery	Mesocricetus auratus	Mesocricetus auratus
10042	periphery	Peromyscus maniculatus	Peromyscus maniculatus
10090	core	Mus musculus	Mus musculus
10116	core	Rattus norvegicus	Rattus norvegicus
10141	core	Cavia porcellus	Cavia porcellus
10160	periphery	Octodon degus	Octodon degus
10181	periphery	Heterocephalus glaber	Heterocephalus glaber
10224	core	Saccoglossus kowalevskii	Saccoglossus kowalevskii
10228	core	Trichoplax adhaerens	Trichoplax adhaerens
12957	periphery	Atta cephalotes	Atta cephalotes
13035	core	Dactylococcopsis salina PCC 8305	Dactylococcopsis salina
13037	core	Danaus plexippus	Danaus plexippus
13249	periphery	Rhodnius prolixus	Rhodnius prolixus
13333	core	Amborella trichopoda	Amborella trichopoda
13349	periphery	Arthrobotrys oligospora	Arthrobotrys oligospora
13616	periphery	Monodelphis domestica	Monodelphis domestica
13684	periphery	Parastagonospora nodorum	Parastagonospora nodorum
13689	core	Sphingomonas paucimobilis	Sphingomonas paucimobilis
13690	periphery	Sphingobium yanoikuyae	Sphingobium yanoikuyae
13735	core	Pelodiscus sinensis	Pelodiscus sinensis
15368	periphery	Brachypodium distachyon	Brachypodium distachyon
27288	core	Naumovozyma castellii	Naumovozyma castellii
27289	periphery	Naumovozyma dairenensis	Naumovozyma dairenensis
27337	periphery	Verticillium dahliae	Verticillium dahliae
27679	periphery	Saimiri boliviensis	Saimiri boliviensis
27923	core	Mnemiopsis leidyi	Mnemiopsis leidyi
28042	core	Saccharopolyspora rectivirgula	Saccharopolyspora rectivirgula
28072	periphery	Nostoc sp. PCC 7524	Nostoc sp. PCC7524
28115	periphery	Porphyromonas macacae	Porphyromonas macacae
28152	periphery	Yersinia kristensenii	Yersinia kristensenii
28176	periphery	Candidatus Photodesmus katoptron	Photodesmus katoptron
28229	core	Colwellia psychrerythraea	Colwellia psychrerythraea
28258	core	Cobetia marina	Cobetia marina
28377	core	Anolis carolinensis	Anolis carolinensis
28444	periphery	Herbidospora cretacea	Herbidospora cretacea
28532	periphery	Tarenaya hassleriana	Tarenaya hassleriana
28564	periphery	Talaromyces stipitatus	Talaromyces stipitatus
28583	core	Allomyces macrogynus	Allomyces macrogynus
28737	periphery	Elephantulus edwardii	Elephantulus edwardii
28985	core	Kluyveromyces lactis	Kluyveromyces lactis
29073	periphery	Ursus maritimus	Ursus maritimus
29078	periphery	Eptesicus fuscus	Eptesicus fuscus
29176	periphery	Neospora caninum	Neospora caninum
29306	periphery	Streptomyces griseoluteus	Streptomyces griseoluteus
29486	periphery	Yersinia ruckeri	Yersinia ruckeri
29495	periphery	Vibrio navarrensis	Vibrio navarrensis
29540	periphery	Natrialba asiatica DSM 12278	Natrialba asiatica
29581	periphery	Janthinobacterium lividum	Janthinobacterium lividum
29730	periphery	Gossypium raimondii	Gossypium raimondii
29760	core	Vitis vinifera	Vitis vinifera
29850	periphery	Gaeumannomyces graminis	Gaeumannomyces graminis
29875	core	Trichoderma virens	Trichoderma virens
29908	periphery	Sporothrix schenckii	Sporothrix schenckii
30611	periphery	Otolemur garnettii	Otolemur garnettii
31033	periphery	Takifugu rubripes	Takifugu rubripes
31234	periphery	Caenorhabditis remanei	Caenorhabditis remanei
31870	periphery	Colletotrichum graminicola	Colletotrichum graminicola
31954	periphery	Bifidobacterium pseudolongum subsp. pseudolongum	Bifidobacterium pseudolongum
31964	core	Clavibacter michiganensis subsp. sepedonicus	Clavibacter michiganensis sepedonicus
32024	periphery	Campylobacter sputorum biovar sputorum	Campylobacter sputorum
32042	periphery	Pseudomonas stutzeri ATCC 14405 = CCUG 16156	Pseudomonas stutzeri ATCC 14405
32049	core	Synechococcus sp. PCC 7002	Synechococcus sp. PCC7002
32051	periphery	Synechococcus sp. WH 7803	Synechococcus sp. WH 7803
32057	periphery	Calothrix sp. PCC 7103	Calothrix sp. PCC7103
32264	core	Tetranychus urticae	Tetranychus urticae
32507	periphery	Neolamprologus brichardi	Neolamprologus brichardi
33035	core	Blautia producta	Blautia producta
33169	core	Eremothecium gossypii	Eremothecium gossypii
33178	periphery	Aspergillus terreus	Aspergillus terreus
33188	periphery	Uncinocarpus reesii	Uncinocarpus reesii
33876	periphery	Catenuloplanes japonicus	Catenuloplanes japonicus
33898	periphery	Streptomyces galbus	Streptomyces galbus
33905	periphery	Bifidobacterium thermophilum	Bifidobacterium thermophilum
34007	core	Paracoccus versutus	Paracoccus versutus
34349	core	Mixia osmundae	Mixia osmundae
34373	periphery	Blumeria graminis	Blumeria graminis
34506	core	Strongyloides ratti	Strongyloides ratti
34740	periphery	Heliconius melpomene	Heliconius melpomene
34839	periphery	Chinchilla lanigera	Chinchilla lanigera
35128	core	Thalassiosira pseudonana	Thalassiosira pseudonana
35703	core	Citrobacter amalonaticus	Citrobacter amalonaticus
35720	periphery	Thielavia terrestris	Thielavia terrestris
35725	periphery	Macrophomina phaseolina	Macrophomina phaseolina
35754	periphery	Dactylosporangium aurantiacum	Dactylosporangium aurantiacum
35760	periphery	Bifidobacterium choerinum	Bifidobacterium choerinum
35841	periphery	Bacillus thermoamylovorans	Bacillus thermoamylovorans
36033	core	Vanderwaltozyma polyspora	Vanderwaltozyma polyspora
36080	periphery	Mucor circinelloides	Mucor circinelloides
36331	periphery	Pythium irregulare	Pythium irregulare
36630	core	Neosartorya fischeri	Neosartorya fischeri
36651	periphery	Penicillium digitatum	Penicillium digitatum
36809	core	Mycobacterium abscessus	Mycobacterium abscessus
36870	core	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
36874	periphery	Porphyromonas cangingivalis	Porphyromonas cangingivalis
36875	periphery	Porphyromonas canoris	Porphyromonas canoris
36914	periphery	Lodderomyces elongisporus	Lodderomyces elongisporus
37659	periphery	Clostridium algidicarnis	Clostridium algidicarnis
37682	periphery	Aegilops tauschii	Aegilops tauschii
37692	core	Candidatus Phytoplasma mali	Phytoplasma mali
37727	periphery	Talaromyces marneffei	Talaromyces marneffei
37919	core	Rhodococcus opacus	Rhodococcus opacus
38033	periphery	Chaetomium globosum	Chaetomium globosum
38654	periphery	Alligator sinensis	Alligator sinensis
38727	periphery	Panicum virgatum	Panicum virgatum
38833	periphery	Micromonas pusilla	Micromonas pusilla
39416	periphery	Tuber melanosporum	Tuber melanosporum
40041	core	Streptococcus equi subsp. zooepidemicus	Streptococcus equi
40127	periphery	Neurospora tetrasperma	Neurospora tetrasperma
40148	periphery	Oryza glumipatula	Oryza glumipatula
40149	periphery	Oryza meridionalis	Oryza meridionalis
40215	periphery	Acinetobacter junii	Acinetobacter junii
40373	periphery	Acinetobacter sp. CIP-A165	Acinetobacter sp. CIPA165
40384	periphery	Aspergillus kawachii	Aspergillus kawachii
40483	periphery	Fomitopsis pinicola	Fomitopsis pinicola
40492	core	Stereum hirsutum	Stereum hirsutum
40559	core	Botrytis cinerea	Botrytis cinerea
40571	periphery	Lentzea albidocapillata	Lentzea albidocapillata
41431	core	Cyanothece sp. PCC 8801	Cyanothece sp. PCC8801
41875	periphery	Bathycoccus prasinos	Bathycoccus prasinos
42068	periphery	Pneumocystis jirovecii	Pneumocystis jirovecii
42099	periphery	Pythium vexans	Pythium vexans
42254	periphery	Sorex araneus	Sorex araneus
42256	periphery	Rubrobacter radiotolerans	Rubrobacter radiotolerans
42345	core	Phoenix dactylifera	Phoenix dactylifera
42374	core	Candida dubliniensis	Candida dubliniensis
42565	periphery	Halomonas salina	Halomonas salina
43151	periphery	Anopheles darlingi	Anopheles darlingi
43179	periphery	Ictidomys tridecemlineatus	Ictidomys tridecemlineatus
43228	periphery	Capronia epimyces	Capronia epimyces
43229	periphery	Capronia coronata	Capronia coronata
43354	periphery	Prauserella rugosa	Prauserella rugosa
43759	periphery	Streptomyces wedmorensis	Streptomyces wedmorensis
43989	core	Cyanothece sp. ATCC 51142	Cyanothece sp. ATCC 51142
44056	core	Aureococcus anophagefferens	Aureococcus anophagefferens
