318558	Tupaia virus (isolate Tupaia/Thailand/-/1986)	Tupaia virus (TUPV)	TUPV
318844	Tibrogargan virus (strain CS132)	Tibrogargan virus (TIBV)	TIBV
32603	Human herpesvirus 6A (strain Uganda-1102)	Human herpesvirus 6A (HHV-6A)	HHV-6A
32604	Human herpesvirus 6B (strain Z29)	Human herpesvirus 6B (HHV-6B)	HHV-6B
329852	Enterobacteria phage MS2	Enterobacteria phage MS2 (Bacteriophage MS2)	MS2
333919	Equus caballus papillomavirus 1 (strain Olson)	Equus caballus papillomavirus 1 (EcPV-1)	EcPV-1
333926	Human papillomavirus type 4	Human papillomavirus type 4 (HPV 4)	HPV 4
334203	Human papillomavirus type 1a	Human papillomavirus type 1a (HPV 1a)	HPV 1a
334205	Human papillomavirus type 41	Human papillomavirus type 41 (HPV 41)	HPV 41
337041	Human papillomavirus type 16	Human papillomavirus type 16 (HPV 16)	HPV 16
337042	Human papillomavirus type 18	Human papillomavirus type 18 (HPV 18)	HPV 18
337051	Human papillomavirus type 5	Human papillomavirus type 5 (HPV 5)	HPV 5
33773	Olive latent virus 2 (isolate Italy)	Olive latent virus 2 (OLV-2)	OLV-2
342409	White spot syndrome virus (isolate Shrimp/China/Tongan/1996)	White spot syndrome virus (WSSV)	WSSV
345201	Invertebrate iridescent virus 3	Invertebrate iridescent virus 3 (IIV-3)	IIV-3
348604	Enterobacteria phage T4	Enterobacteria phage T4 (T4)	T4
351073	Reovirus type 1 (strain Lang)	Reovirus type 1 (Reovirus type 1)	Reovirus
35252	Alcelaphine herpesvirus 1 (strain C500)	Alcelaphine herpesvirus 1 (AlHV-1)	AlHV-1
35258	Canine oral papillomavirus (strain Y62)	Canine oral papillomavirus (COPV)	COPV
35287	Rice tungro spherical virus (strain A)	Rice tungro spherical virus (RTSV)	RTSV
35304	Bunyamwera virus	Bunyamwera virus (BUNV)	BUNV
35305	Bunyavirus La Crosse (isolate Human/United States/L78/1978)	Bunyavirus La Crosse	Bunyavirus
35612	Vesicular exanthema of swine virus serotype A48 (isolate Swine/United States/A48/1948)	Vesicular exanthema of swine virus (VESV)	VESV
36427	Rotavirus C (isolate Human/United Kingdom/Bristol/1989)	Rotavirus C (RV-C)	RV-C
36772	Subterranean clover stunt virus (strain F)	Subterranean clover stunt virus (SCSV)	SCSV
370833	Tomato torrado virus (isolate Solanum lycopersicum/Spain/PRIToTV0301/-)	Tomato torrado virus (ToTV)	ToTV
37124	Chikungunya virus (strain S27-African prototype)	Chikungunya virus (CHIKV)	CHIKV
37128	Potato mop-top virus (isolate Potato/Sweden/Sw)	Potato mop-top virus (PMTV)	PMTV
37296	Human herpesvirus 8 type P (isolate GK18)	Human herpesvirus 8 type P (HHV-8)	HHV-8
374840	Enterobacteria phage phiX174 (Isolate Sanger)	Enterobacteria phage phiX174	phi-X174
38525	Avian metapneumovirus (isolate Canada goose/Minnesota/15a/2001)	Avian metapneumovirus (AMPV)	AMPV
38804	Yaba monkey tumor virus (strain VR587)	Yaba monkey tumor virus (YMTV)	YMTV
39720	Walleye dermal sarcoma virus	Walleye dermal sarcoma virus (WDSV)	WDSV
40051	Bluetongue virus 10 (isolate USA)	Bluetongue virus 10 (BTV 10)	BTV 10
40537	Bovine papillomavirus type 5	Bovine papillomavirus type 5	Bovine papillomavirus 5
40631	Enterobacteria phage N15	Enterobacteria phage N15	N15
47416	Satsuma dwarf virus (isolate Satsuma mandarin/Japan/S-58/1977)	Satsuma dwarf virus (SDV)	SDV
47740	Groundnut rosette virus (strain MC1)	Groundnut rosette virus (GRV)	GRV
48981	Drosophila x virus (isolate Chung/1996)	Drosophila x virus (DXV)	DXV
49267	Tomato pseudo-curly top virus	Tomato pseudo-curly top virus (TPCTV)	TPCTV
50294	Psittacid herpesvirus 1 (isolate Amazon parrot/-/97-0001/1997)	Psittacid herpesvirus 1 (PsHV-1)	PsHV-1
50817	Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963)	Broad bean wilt virus 1 (BBWV-1)	BBWV-1
55987	Infectious salmon anemia virus (isolate Atlantic salmon/Norway/810/9/99)	Infectious salmon anemia virus (ISAV)	ISAV
57482	European bat lyssavirus 1 (strain Bat/Germany/RV9/1968)	European bat lyssavirus 1 (EBLV1)	EBLV1
58103	Leishmania RNA virus 1 - 1 (isolate Leishmania guyanensis)	Leishmania RNA virus 1 - 1 (LRV-1-1)	LRV-1-1
